Title:               Continued Claims (Insured Unemployment) in North Carolina
2012-06-30  100167
2012-07-07  115156
2012-07-14  102412
2012-07-21  100385
2012-07-28  100339
2012-08-04  100291
2012-08-11  101529
2012-08-18  100887
2012-08-25   98401
2012-09-01   96492
2012-09-08   97127
2012-09-15   92989
2012-09-22   95672
2012-09-29   95134
2012-10-06   95507
2012-10-13   98426
2012-10-20   95247
2012-10-27   96654
2012-11-03   98135
2012-11-10   97919
2012-11-17   95338
2012-11-24  111905
2012-12-01  103619
2012-12-08  103246
2012-12-15  102122
2012-12-22  107706
2012-12-29  128803
2013-01-05  124361
2013-01-12  111752
2013-01-19  113584
2013-01-26  112381
2013-02-02  109844
2013-02-09  107301
2013-02-16  108466
2013-02-23  106452
2013-03-02  104142
2013-03-09   99872
2013-03-16   96600
2013-03-23   93107
2013-03-30   95595
2013-04-06   93501
2013-04-13   89766
2013-04-20   89234
2013-04-27   88410
2013-05-04   89038
2013-05-11   89746
2013-05-18   88643
2013-05-25   89579
2013-06-01   90967
2013-06-08   90437
2013-06-15   88856
2013-06-22   76031
2013-06-29   84699
2013-07-06  128739
2013-07-13  103993
2013-07-20   98996
2013-07-27   94644
2013-08-03   89864
2013-08-10   82266
2013-08-17   81461
2013-08-24   78847
2013-08-31   76180
2013-09-07   75334
2013-09-14   73162
2013-09-21   72756
2013-09-28   71285
2013-10-05   70550
2013-10-12   70775
2013-10-19   70089
2013-10-26   70053
2013-11-02   71033
2013-11-09   70915
2013-11-16   71846
2013-11-23   69510
2013-11-30   74243
2013-12-07   71662
2013-12-14   72109
2013-12-21   67204
2013-12-28   75731
2014-01-04   76518
2014-01-11   74902
2014-01-18   73896
2014-01-25   72974
2014-02-01   74820
2014-02-08   70772
2014-02-15   71497
2014-02-22   69600
2014-03-01   66824
2014-03-08   65067
2014-03-15   63277
2014-03-22   61829
2014-03-29   60187
2014-04-05   57805
2014-04-12   56689
2014-04-19   55977
2014-04-26   55133
2014-05-03   53914
2014-05-10   53424
2014-05-17   53862
2014-05-24   53067
2014-05-31   52378
2014-06-07   51418
2014-06-14   51160
2014-06-21   51416
2014-06-28   50775
2014-07-05   53354
2014-07-12   52380
2014-07-19   52430
2014-07-26   52810
2014-08-02   52751
2014-08-09   52067
2014-08-16   50891
2014-08-23   49439
2014-08-30   47504
2014-09-06   46892
2014-09-13   45694
2014-09-20   44533
2014-09-27   44065
2014-10-04   43403
2014-10-11   43577
2014-10-18   43406
2014-10-25   42661
2014-11-01   41189
2014-11-08   38630
2014-11-15   39504
2014-11-22   36498
2014-11-29   39834
2014-12-06   39127
2014-12-13   39432
2014-12-20   37391
2014-12-27   41726
2015-01-03   44320
2015-01-10   43448
2015-01-17   43419
2015-01-24   43424
2015-01-31   42656
2015-02-07   41320
2015-02-14   40863
2015-02-21   39929
2015-02-28   40706
2015-03-07   38985
2015-03-14   37989
2015-03-21   37029
2015-03-28   35573
2015-04-04   34814
2015-04-11   35072
2015-04-18   34542
2015-04-25   34443
2015-05-02   33715
2015-05-09   33617
2015-05-16   34047
2015-05-23   34185
2015-05-30   34659
2015-06-06   34814
2015-06-13   35148
2015-06-20   35370
2015-06-27   34731
2015-07-04   35599
2015-07-11   35864
2015-07-18   36226
2015-07-25   35504
2015-08-01   35173
2015-08-08   34679
2015-08-15   33484
2015-08-22   31615
2015-08-29   30286
2015-09-05   29597
2015-09-12   29247
2015-09-19   28672
2015-09-26   28239
2015-10-03   27986
2015-10-10   27498
2015-10-17   26692
2015-10-24   26114
2015-10-31   26142
2015-11-07   26557
2015-11-14   27478
2015-11-21   26652
2015-11-28   28712
2015-12-05   28741
2015-12-12   29661
2015-12-19   29072
2015-12-26   30640
2016-01-02   31500
2016-01-09   32675
2016-01-16   32779
2016-01-23   33121
2016-01-30   32572
2016-02-06   32166
2016-02-13   31495
2016-02-20   30725
2016-02-27   30025
2016-03-05   28999
2016-03-12   27898
2016-03-19   26691
2016-03-26   26066
2016-04-02   25598
2016-04-09   26070
2016-04-16   25413
2016-04-23   25174
2016-04-30   25085
2016-05-07   25365
2016-05-14   25933
2016-05-21   26420
2016-05-28   26417
2016-06-04   27196
2016-06-11   27216
2016-06-18   27262
2016-06-25   27377
2016-07-02   27365
2016-07-09   28168
2016-07-16   27926
2016-07-23   27826
2016-07-30   27557
2016-08-06   27115
2016-08-13   26735
2016-08-20   26041
2016-08-27   25251
2016-09-03   24667
2016-09-10   24566
2016-09-17   23690
2016-09-24   23316
2016-10-01   22580
2016-10-08   22416
2016-10-15   24416
2016-10-22   26447
2016-10-29   25092
2016-11-05   24344
2016-11-12   23836
2016-11-19   23217
2016-11-26   24180
2016-12-03   24362
2016-12-10   25053
2016-12-17   24716
2016-12-24   25414
2016-12-31   26240
2017-01-07   27694
2017-01-14   28323
2017-01-21   27759
2017-01-28   27893
2017-02-04   27552
2017-02-11   27097
2017-02-18   26247
2017-02-25   25082
2017-03-04   24778
2017-03-11   23970
2017-03-18   23430
2017-03-25   22589
2017-04-01   22041
2017-04-08   21287
2017-04-15   21203
2017-04-22   21283
2017-04-29   21012
2017-05-06   21502
2017-05-13   21251
2017-05-20   21698
2017-05-27   22012
2017-06-03   22176
2017-06-10   22562
2017-06-17   22960
2017-06-24   23060
2017-07-01   23058
2017-07-08   23696
2017-07-15   23687
2017-07-22   23821
2017-07-29   23828
2017-08-05   23405
2017-08-12   23305
2017-08-19   23084
2017-08-26   22465
2017-09-02   21138
2017-09-09   21349
2017-09-16   20385
2017-09-23   20010
2017-09-30   19739
2017-10-07   20022
2017-10-14   21378
2017-10-21   19690
2017-10-28   19586
2017-11-04   19740
2017-11-11   20198
2017-11-18   19877
2017-11-25   20735
2017-12-02   20769
2017-12-09   21443
2017-12-16   21467
2017-12-23   20841
2017-12-30   21565
2018-01-06   22541
2018-01-13   22893
2018-01-20   23506
2018-01-27   23203
2018-02-03   24377
2018-02-10   23922
2018-02-17   23494
2018-02-24   22577
2018-03-03   21838
2018-03-10   21463
2018-03-17   21201
2018-03-24   20444
2018-03-31   20150
2018-04-07   19911
2018-04-14   19518
2018-04-21   19231
2018-04-28   19025
2018-05-05   18798
2018-05-12   18762
2018-05-19   19170
2018-05-26   19876
2018-06-02   19549
2018-06-09   19675
2018-06-16   19928
2018-06-23   20247
2018-06-30   20242
2018-07-07   21023
2018-07-14   21026
2018-07-21   21066
2018-07-28   20932
2018-08-04   20885
2018-08-11   20471
2018-08-18   19920
2018-08-25   19267
2018-09-01   18622
2018-09-08   18182
2018-09-15   19130
2018-09-22   18316
2018-09-29   21366
2018-10-06   21315
2018-10-13   20616
2018-10-20   20366
2018-10-27   19746
2018-11-03   18398
2018-11-10   17832
2018-11-17   16810
2018-11-24   18901
2018-12-01   18446
2018-12-08   20126
2018-12-15   20907
2018-12-22   19287
