Title:               Initial Claims in North Carolina
2012-07-28  10208
2012-08-04  10848
2012-08-11  10977
2012-08-18  11114
2012-08-25  12351
2012-09-01  10785
2012-09-08  10245
2012-09-15  11321
2012-09-22   9123
2012-09-29  10340
2012-10-06  11405
2012-10-13  12266
2012-10-20  14666
2012-10-27  10884
2012-11-03  12609
2012-11-10  13441
2012-11-17  11590
2012-11-24   8981
2012-12-01  22174
2012-12-08  13610
2012-12-15  11673
2012-12-22  13067
2012-12-29  15367
2013-01-05  28973
2013-01-12  23432
2013-01-19  14145
2013-01-26  16175
2013-02-02  13494
2013-02-09  12031
2013-02-16  10847
2013-02-23  12842
2013-03-02  11696
2013-03-09  11832
2013-03-16  10492
2013-03-23   9989
2013-03-30   8388
2013-04-06  12791
2013-04-13  12066
2013-04-20  10654
2013-04-27   9684
2013-05-04   9515
2013-05-11  11341
2013-05-18  11622
2013-05-25   9875
2013-06-01  10177
2013-06-08  11631
2013-06-15  11977
2013-06-22   9968
2013-06-29   9570
2013-07-06   7334
2013-07-13   8494
2013-07-20   7152
2013-07-27   6892
2013-08-03   6958
2013-08-10   7323
2013-08-17   6306
2013-08-24   6209
2013-08-31   6043
2013-09-07   5700
2013-09-14   6296
2013-09-21   6111
2013-09-28   5948
2013-10-05   6085
2013-10-12   6564
2013-10-19   6083
2013-10-26   6218
2013-11-02   6877
2013-11-09   7115
2013-11-16   6246
2013-11-23   6848
2013-11-30   4682
2013-12-07   8700
2013-12-14   7401
2013-12-21   7648
2013-12-28   4954
2014-01-04   7664
2014-01-11  10656
2014-01-18   8097
2014-01-25   6088
2014-02-01   5691
2014-02-08   7038
2014-02-15   4394
2014-02-22   5482
2014-03-01   5333
2014-03-08   5051
2014-03-15   5026
2014-03-22   4940
2014-03-29   4871
2014-04-05   5162
2014-04-12   5537
2014-04-19   4378
2014-04-26   5115
2014-05-03   5015
2014-05-10   5339
2014-05-17   5880
2014-05-24   5659
2014-05-31   4622
2014-06-07   5663
2014-06-14   5488
2014-06-21   5785
2014-06-28   5356
2014-07-05   4824
2014-07-12   5854
2014-07-19   5560
2014-07-26   4756
2014-08-02   5091
2014-08-09   5130
2014-08-16   4632
2014-08-23   4656
2014-08-30   4873
2014-09-06   4491
2014-09-13   4816
2014-09-20   4709
2014-09-27   4614
2014-10-04   4834
2014-10-11   5211
2014-10-18   5121
2014-10-25   5005
2014-11-01   4885
2014-11-08   5702
2014-11-15   4732
2014-11-22   5557
2014-11-29   3256
2014-12-06   6645
2014-12-13   5931
2014-12-20   5832
2014-12-27   3455
2015-01-03   6685
2015-01-10   8410
2015-01-17   6732
2015-01-24   5065
2015-01-31   5427
2015-02-07   5498
2015-02-14   4635
2015-02-21   3866
2015-02-28   4463
2015-03-07   5167
2015-03-14   4343
2015-03-21   4336
2015-03-28   4149
2015-04-04   3791
2015-04-11   4863
2015-04-18   4343
2015-04-25   4103
2015-05-02   4140
2015-05-09   4941
2015-05-16   5070
2015-05-23   4809
2015-05-30   3890
2015-06-06   4890
2015-06-13   4522
2015-06-20   4720
2015-06-27   4330
2015-07-04   3786
2015-07-11   4914
2015-07-18   4025
2015-07-25   3948
2015-08-01   3981
2015-08-08   4060
2015-08-15   3701
2015-08-22   3643
2015-08-29   3771
2015-09-05   3883
2015-09-12   3542
2015-09-19   3605
2015-09-26   3510
2015-10-03   3942
2015-10-10   4014
2015-10-17   3702
2015-10-24   3809
2015-10-31   3770
2015-11-07   4632
2015-11-14   4557
2015-11-21   4606
2015-11-28   2809
2015-12-05   5328
2015-12-12   4465
2015-12-19   4623
2015-12-26   3163
2016-01-02   4564
2016-01-09   7023
2016-01-16   5348
2016-01-23   3724
2016-01-30   4585
2016-02-06   4449
2016-02-13   3880
2016-02-20   3485
2016-02-27   3622
2016-03-05   3802
2016-03-12   3427
2016-03-19   3280
2016-03-26   3009
2016-04-02   3310
2016-04-09   3843
2016-04-16   3559
2016-04-23   3482
2016-04-30   3393
2016-05-07   3858
2016-05-14   4056
2016-05-21   4150
2016-05-28   3503
2016-06-04   3474
2016-06-11   3820
2016-06-18   3815
2016-06-25   3635
2016-07-02   3883
2016-07-09   3686
2016-07-16   3806
2016-07-23   3648
2016-07-30   3480
2016-08-06   3794
2016-08-13   3409
2016-08-20   3486
2016-08-27   3403
2016-09-03   3652
2016-09-10   2967
2016-09-17   3192
2016-09-24   2963
2016-10-01   2980
2016-10-08   3263
2016-10-15   5633
2016-10-22   8022
2016-10-29   5638
2016-11-05   4695
2016-11-12   3917
2016-11-19   4214
2016-11-26   2452
2016-12-03   4426
2016-12-10   4257
2016-12-17   3947
2016-12-24   3488
2016-12-31   3143
2017-01-07   5287
2017-01-14   4585
2017-01-21   4003
2017-01-28   3953
2017-02-04   3928
2017-02-11   3465
2017-02-18   3128
2017-02-25   2828
2017-03-04   3155
2017-03-11   3102
2017-03-18   3140
2017-03-25   2995
2017-04-01   2826
2017-04-08   3388
2017-04-15   2657
2017-04-22   3069
2017-04-29   3087
2017-05-06   3161
2017-05-13   3305
2017-05-20   3450
2017-05-27   3263
2017-06-03   2854
2017-06-10   3207
2017-06-17   3217
2017-06-24   3122
2017-07-01   3191
2017-07-08   3141
2017-07-15   3361
2017-07-22   3014
2017-07-29   2933
2017-08-05   3186
2017-08-12   2916
2017-08-19   2923
2017-08-26   2779
2017-09-02   2995
2017-09-09   2382
2017-09-16   2724
2017-09-23   2839
2017-09-30   2757
2017-10-07   3130
2017-10-14   2845
2017-10-21   2863
2017-10-28   2777
2017-11-04   3082
2017-11-11   3048
2017-11-18   3273
2017-11-25   1890
2017-12-02   3526
2017-12-09   3186
2017-12-16   3264
2017-12-23   2997
2017-12-30   1785
2018-01-06   3684
2018-01-13   4483
2018-01-20   2554
2018-01-27   3791
2018-02-03   3585
2018-02-10   3375
2018-02-17   2942
2018-02-24   2499
2018-03-03   2719
2018-03-10   2868
2018-03-17   2579
2018-03-24   2530
2018-03-31   2289
2018-04-07   2846
2018-04-14   2667
2018-04-21   2571
2018-04-28   2657
2018-05-05   2713
2018-05-12   3018
2018-05-19   3194
2018-05-26   2791
2018-06-02   2596
2018-06-09   2897
2018-06-16   3054
2018-06-23   3016
2018-06-30   2976
2018-07-07   2879
2018-07-14   2992
2018-07-21   2856
2018-07-28   2766
2018-08-04   2737
2018-08-11   2622
2018-08-18   2749
2018-08-25   2535
2018-09-01   2474
2018-09-08   2351
2018-09-15   2174
2018-09-22  10084
2018-09-29   5288
2018-10-06   9280
2018-10-13   6336
2018-10-20   5275
2018-10-27   4408
2018-11-03   5310
2018-11-10   3602
2018-11-17   3199
2018-11-24   2149
2018-12-01   3736
2018-12-08   3622
2018-12-15   3487
2018-12-22   3708
2018-12-29   2041
